site_name,sensor_X,sensor_Y,wavelength,var_name,n_clean,n_no_out,n_w_nm,n_w_nm_clean,Slope,Slope_log,Slope_II_low,Slope_II,Slope_II_high,Slope_II_int_low,Slope_II_int,Slope_II_int_high,Slope_II_p,Slope_II_slope_bias_sig,Slope_II_int_bias_sig,RMSE,MSA,MAPE,MRD_25,MRD_50,MRD_75,MARD_25,MARD_50,MARD_75,Bias_25,Bias_50,Bias_75,Error_25,Error_50,Error_75
MAFR,HYPERNETS,PACE,365,RHOW,32,28,15,12,2.3534,2.6988,2.3478,4.0536,6.9989,-0.08922,-0.044883,-0.019204,NA,TRUE,TRUE,0.013362,0.010429,67.7278,-0.789137,-0.153894,0.322253,0.193755,0.795501,0.947654,-374.9185,-18.7166,25.8558,24.4609,124.4116,374.9185
MAFR,HYPERNETS,PACE,366,RHOW,32,28,15,12,2.3252,2.6685,2.3099,3.9824,6.866,-0.087997,-0.044207,-0.018808,NA,TRUE,TRUE,0.01334,0.010426,67.1879,-0.772325,-0.164131,0.323339,0.201643,0.776824,0.942645,-339.4872,-20.1208,25.8558,25.6495,121.6863,339.4872
MAFR,HYPERNETS,PACE,367,RHOW,32,28,15,12,2.3318,2.8768,2.2904,3.933,6.7536,-0.087243,-0.044144,-0.019045,NA,TRUE,TRUE,0.012929,0.010259,66.2664,-0.763812,-0.180092,0.293161,0.226654,0.77931,0.94202,-326.4253,-22.7593,23.0535,29.9645,123.3303,326.4253
MAFR,HYPERNETS,PACE,368,RHOW,32,28,15,12,2.3267,3.0532,2.2455,3.8301,6.5329,-0.084798,-0.043248,-0.018888,NA,TRUE,TRUE,0.0125,0.010051,64.9837,-0.754684,-0.188592,0.263772,0.240472,0.780495,0.940965,-315.7855,-24.2627,20.3424,32.5139,119.8325,315.7855
MAFR,HYPERNETS,PACE,369,RHOW,32,28,15,12,2.1708,2.9979,2.1376,3.6739,6.3145,-0.082867,-0.04169,-0.017733,NA,TRUE,TRUE,0.012462,0.010126,64.8292,-0.757672,-0.205993,0.240858,0.253573,0.785345,0.93075,-322.5865,-26.8578,18.1638,34.731,117.8464,322.5865
MAFR,HYPERNETS,PACE,370,RHOW,32,28,15,12,2.1128,2.9946,2.1097,3.6437,6.2931,-0.084102,-0.042142,-0.017846,NA,TRUE,TRUE,0.012456,0.010245,64.7347,-0.757142,-0.216033,0.221151,0.263629,0.787755,0.922146,-324.1879,-28.5072,16.347,36.592,115.4943,324.1879
MAFR,HYPERNETS,PACE,371,RHOW,32,28,15,12,2.0825,3.0007,2.0727,3.5759,6.1692,-0.083743,-0.042011,-0.017821,NA,TRUE,TRUE,0.012382,0.010316,64.2891,-0.756626,-0.226697,0.199675,0.273933,0.790106,0.918485,-326.117,-30.2914,14.0264,38.5406,109.9952,326.117
MAFR,HYPERNETS,PACE,372,RHOW,32,28,15,12,2.0898,2.7591,2.1007,3.6362,6.294,-0.08631,-0.042902,-0.017825,NA,TRUE,TRUE,0.012886,0.010485,64.0464,-0.726704,-0.213198,0.23025,0.2618,0.750892,0.91268,-270.8929,-28.078,15.9609,36.2823,113.3771,270.8929
MAFR,HYPERNETS,PACE,373,RHOW,32,28,15,12,2.1524,2.58,2.1319,3.6717,6.3236,-0.087838,-0.043689,-0.018056,NA,TRUE,TRUE,0.01335,0.010579,62.9973,-0.698492,-0.18689,0.231416,0.237019,0.712487,0.891388,-232.8151,-23.9302,15.3239,31.8527,109.193,232.8151
MAFR,HYPERNETS,PACE,374,RHOW,32,28,15,12,2.0754,2.3993,2.0447,3.5149,6.0422,-0.084087,-0.041551,-0.016807,NA,TRUE,TRUE,0.012719,0.010046,59.2091,-0.661257,-0.164109,0.220458,0.205586,0.667342,0.836671,-195.3557,-20.2264,15.4271,26.3632,104.7521,195.3557
