site_name,var_name,sensor_X,sensor_Y,wavelength,n_clean,n_no_out,n_w_nm,n_w_nm_clean,Slope,Slope_log,Slope_II_low,Slope_II,Slope_II_high,Slope_II_int_low,Slope_II_int,Slope_II_int_high,Slope_II_p,Slope_II_slope_bias_sig,Slope_II_int_bias_sig,RMSE,MSA,MAPE,MRD_25,MRD_50,MRD_75,MARD_25,MARD_50,MARD_75,Bias_25,Bias_50,Bias_75,Error_25,Error_50,Error_75
MAFR,RHOW,HYPERNETS,S3B,442,150,150,150,137,0.0328,0.1577,1.9788,2.3441,2.7767,-0.079679,-0.062113,-0.047284,NA,TRUE,TRUE,0.030602,0.022411,67.804,-0.584646,-0.404633,-0.005113,0.300629,0.4896,0.627824,-140.7587,-67.9636,-0.5139,37.9924,89.3439,151.3877
MAFR,RHOW,S3B,HYPERNETS,442,150,150,150,137,0.006,0.0558,0.3601,0.4266,0.5053,0.023895,0.026498,0.028695,NA,TRUE,TRUE,0.030602,0.022411,104.747,0.005139,0.679636,1.407587,0.370662,0.748196,1.407587,0.5139,67.9636,140.7587,37.9924,89.3439,151.3877
MAFR,RHOW,HYPERNETS,S3B,490,150,150,150,144,0.0762,0.1899,1.6068,1.8951,2.235,-0.086763,-0.06594,-0.048285,NA,TRUE,TRUE,0.030632,0.023622,40.36,-0.408286,-0.292154,-0.065426,0.246278,0.321804,0.456326,-69.0006,-41.2738,-7.0018,30.9504,46.3914,78.8349
MAFR,RHOW,S3B,HYPERNETS,490,150,150,150,144,0.0212,0.0649,0.4474,0.5277,0.6224,0.03005,0.034796,0.038819,NA,TRUE,TRUE,0.030632,0.023622,56.8828,0.070029,0.412739,0.690006,0.28626,0.447359,0.693587,7.0018,41.2738,69.0006,30.9504,46.3914,78.8349
MAFR,RHOW,HYPERNETS,S3B,510,150,150,150,145,0.2463,0.4371,1.4649,1.724,2.029,-0.084662,-0.062787,-0.044201,NA,TRUE,TRUE,0.029962,0.023106,33.274,-0.336202,-0.241938,-0.056101,0.201741,0.271533,0.376047,-50.6481,-31.9153,-5.9435,24.2378,36.4552,56.2165
MAFR,RHOW,S3B,HYPERNETS,510,150,150,150,145,0.0829,0.1244,0.4928,0.58,0.6826,0.030173,0.036419,0.041725,NA,TRUE,TRUE,0.029962,0.023106,52.1248,0.059435,0.319153,0.506481,0.221618,0.346805,0.528836,5.9435,31.9153,50.6481,24.2378,36.4552,56.2165
MAFR,RHOW,HYPERNETS,S3B,560,150,150,150,146,0.6031,0.8735,1.1809,1.3683,1.5855,-0.070307,-0.048531,-0.029738,NA,TRUE,TRUE,0.029092,0.022712,23.1522,-0.24834,-0.16972,-0.065234,0.118607,0.196676,0.262622,-33.0388,-20.4415,-6.9817,13.3483,23.7908,35.1081
MAFR,RHOW,S3B,HYPERNETS,560,150,150,150,146,0.3221,0.3672,0.6307,0.7308,0.8468,0.025183,0.035467,0.044343,NA,TRUE,TRUE,0.029092,0.022712,29.0113,0.069848,0.204417,0.330388,0.132969,0.231173,0.347422,6.9817,20.4415,33.0388,13.3483,23.7908,35.1081
MAFR,RHOW,HYPERNETS,S3B,620,150,150,150,145,0.875,1.1478,1.0422,1.1616,1.2948,-0.037859,-0.025493,-0.014398,NA,TRUE,TRUE,0.028166,0.021482,25.6398,-0.253609,-0.180242,-0.064327,0.121182,0.207323,0.299206,-33.978,-21.9872,-6.875,13.7892,25.0091,39.3153
MAFR,RHOW,S3B,HYPERNETS,620,150,150,150,145,0.6484,0.625,0.7723,0.8609,0.9595,0.013815,0.021946,0.02924,NA,TRUE,TRUE,0.028166,0.021482,35.8406,0.06875,0.219872,0.33978,0.134043,0.247383,0.35323,6.875,21.9872,33.978,13.7892,25.0091,39.3153
MAFR,RHOW,HYPERNETS,S3B,665,150,150,150,145,0.9279,1.2318,1.0487,1.1575,1.2775,-0.032402,-0.022214,-0.012983,NA,TRUE,TRUE,0.027164,0.020249,28.7663,-0.283347,-0.180853,-0.036073,0.133149,0.20798,0.350493,-39.5376,-22.0782,-3.7423,15.2228,25.7759,42.9615
MAFR,RHOW,S3B,HYPERNETS,665,150,150,150,145,0.6925,0.6166,0.7828,0.8639,0.9535,0.01238,0.019191,0.025363,NA,TRUE,TRUE,0.027164,0.020249,49.3425,0.037423,0.220782,0.395376,0.152228,0.250203,0.41375,3.7423,22.0782,39.5376,15.2228,25.7759,42.9615
MAFR,RHOW,HYPERNETS,S3B,673,150,150,150,145,0.9332,1.2429,1.0494,1.1569,1.2754,-0.03198,-0.022034,-0.013013,NA,TRUE,TRUE,0.027072,0.020219,29.3706,-0.299924,-0.182812,-0.032064,0.13452,0.215767,0.356458,-42.8416,-22.3708,-3.3126,14.9775,27.2681,45.2295
MAFR,RHOW,S3B,HYPERNETS,673,150,150,150,145,0.6972,0.623,0.7841,0.8644,0.953,0.012401,0.019046,0.025074,NA,TRUE,TRUE,0.027072,0.020219,48.7595,0.033126,0.223708,0.428416,0.149775,0.257741,0.432523,3.3126,22.3708,42.8416,14.9775,27.2681,45.2295
MAFR,RHOW,HYPERNETS,S3B,681,150,150,150,145,0.938,1.2339,1.0492,1.1553,1.2722,-0.031299,-0.021565,-0.012725,NA,TRUE,TRUE,0.026854,0.019906,29.3759,-0.29772,-0.178901,-0.018562,0.131313,0.213984,0.355347,-42.3933,-21.788,-1.8913,14.8545,27.134,43.875
